RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Diego Rivas,Guido Cannetti,-175.0,155.0,57.1429,155.0,2018-05-19,"Santiago, Chile", Chile,Blue,False,Bantamweight,MALE,3,1,0,0,28.6667,0.523,0.0,2.0,0.523,1,2,6,0,0,0,1,0,0,0,1,Southpaw,167.64,172.72,135,1,0,0,15.6667,0.423,0.6667,1.3333,0.887,2,1,8,0,0,0,1,1,0,0,2,Orthodox,172.72,175.26,145,26,38,0,0,-1,-1,-1,-2,0,-1,0,-5.08,-2.54,-12,13.0,-0.6667,0.6667,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,200.0,400.0,400.0,900.0,350.0,400.0
Veronica Macedo,Andrea Lee,280.0,-340.0,280.0,29.4118,2018-05-19,"Santiago, Chile", Chile,Blue,False,Women's Flyweight,FEMALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,175.26,125,1,0,0,23.0,0.56,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,162.56,162.56,125,22,29,1,0,0,0,1,-3,0,0,0,5.08,12.7,-7,-23.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,415.0,165.0,1200.0,400.0,1000.0,200.0
Vicente Luque,Chad Laprise,-235.0,195.0,42.5532,195.0,2018-05-19,"Santiago, Chile", Chile,Red,False,Welterweight,MALE,3,0,3,0,48.625,0.443,0.0,0.75,0.321,3,2,18,1,0,1,2,3,0,0,6,Orthodox,177.8,180.34,170,0,1,0,24.2857,0.486,0.5714,0.8571,0.154,4,2,13,0,0,0,0,2,3,0,5,Orthodox,180.34,190.5,170,26,31,0,2,-1,1,0,5,1,1,-3,-2.54,-10.16,-5,24.3393,-0.5714,-0.1071,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,4:16,256.0,330.0,350.0,235.0,1200.0,250.0,665.0
Zak Cummings,Michel Prazeres,-190.0,165.0,52.6316,165.0,2018-05-19,"Santiago, Chile", Chile,Blue,False,Welterweight,MALE,3,0,6,0,33.8,0.492,0.6,3.8,0.428,6,2,28,0,0,2,4,0,2,0,8,Orthodox,167.64,170.18,170,0,2,0,25.625,0.338,0.75,0.875,0.274,2,2,16,0,0,0,2,1,3,0,6,Southpaw,182.88,190.5,185,33,36,0,4,4,2,0,12,0,-1,-1,-15.24,-20.32,-3,8.175,-0.15,2.925,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,125.0,275.0,500.0,650.0,350.0,825.0
Brandon Moreno,Alexandre Pantoja,-110.0,-110.0,90.9091,90.9091,2018-05-19,"Santiago, Chile", Chile,Blue,False,Flyweight,MALE,3,1,0,0,58.3333,0.423,1.6667,1.0,0.777,2,1,9,0,0,1,0,0,1,0,2,Orthodox,165.1,170.18,125,1,0,0,32.75,0.42,1.0,2.5,0.47,3,1,11,0,0,1,0,0,2,0,3,Orthodox,170.18,177.8,125,24,28,0,0,-1,-1,0,-2,0,0,-1,-5.08,-7.62,-4,25.5833,0.6667,-1.5,0.0,12.0,7.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,12.0,,Red,U-DEC,,3.0,5:00,900.0,190.0,175.0,650.0,475.0,1000.0,625.0
Poliana Botelho,Syuri Kondo,-174.0,164.0,57.4713,164.0,2018-05-19,"Santiago, Chile", Chile,Red,False,Women's Strawweight,FEMALE,3,0,1,0,135.0,0.47,0.0,0.0,0.0,1,0,3,0,0,1,0,0,0,0,1,Orthodox,162.56,167.64,115,0,1,0,67.0,0.63,0.0,1.0,1.0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,172.72,170.18,115,29,29,0,0,0,0,0,0,0,0,0,-10.16,-2.54,0,68.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,1.0,0:33,33.0,170.0,190.0,825.0,1400.0,325.0,1000.0
Gabriel Benitez,Humberto Bandenay,-155.0,145.0,64.5161,145.0,2018-05-19,"Santiago, Chile", Chile,Red,False,Featherweight,MALE,3,0,1,0,5.0,0.71,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Southpaw,180.34,182.0,145,0,1,0,44.8333,0.417,1.1667,0.0,0.0,2,2,15,0,0,0,2,0,2,0,4,Southpaw,172.72,180.34,145,29,23,0,0,-1,-3,2,-14,0,1,-2,7.62,1.66,6,-39.8333,-1.1667,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Slam,1.0,0:39,39.0,265.0,410.0,225.0,570.0,425.0,660.0
Enrique Barzola,Brandon Davis,-235.0,195.0,42.5532,195.0,2018-05-19,"Santiago, Chile", Chile,Red,False,Featherweight,MALE,3,0,1,0,76.0,0.365,0.0,0.5,0.5,1,1,6,0,0,0,1,0,0,0,1,Orthodox,177.8,182.88,135,0,3,0,53.2,0.436,0.2,5.4,0.468,3,1,15,1,0,0,4,0,0,0,4,Switch,170.18,177.8,145,29,28,0,-2,-2,-3,0,-9,-1,0,0,7.62,5.08,1,22.8,-0.2,-4.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,-108.0,280.0,683.0,1700.0,610.0,850.0
Henry Briones,Frankie Saenz,280.0,-340.0,280.0,29.4118,2018-05-19,"Santiago, Chile", Chile,Blue,False,Bantamweight,MALE,3,0,1,0,57.1429,0.453,0.1429,1.4286,0.244,3,3,21,0,0,2,2,0,0,0,4,Orthodox,167.64,167.64,135,3,0,0,33.5,0.323,0.25,0.0,0.0,1,3,9,0,0,0,0,0,1,0,1,Orthodox,172.72,175.26,135,37,37,3,1,2,3,0,12,0,0,-1,-5.08,-7.62,0,23.6429,-0.1071,1.4286,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,480.0,-155.0,1288.0,906.0,1175.0,570.0
Claudio Puelles,Felipe Silva,265.0,-325.0,265.0,30.7692,2018-05-19,"Santiago, Chile", Chile,Red,False,Lightweight,MALE,3,1,0,0,5.5,0.22,0.0,0.0,0.0,1,1,2,0,0,0,0,1,0,0,1,Orthodox,182.88,195.58,155,1,0,0,29.0,0.42,0.0,1.0,0.16,0,1,2,1,0,0,0,0,0,0,0,Southpaw,180.34,182.88,155,22,34,0,0,1,1,0,0,-1,1,0,2.54,12.7,-12,-23.5,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Kneebar,3.0,2:23,743.0,430.0,450.0,1200.0,850.0,1280.0,-135.0
Amanda Nunes,Raquel Pennington,-700.0,500.0,14.2857,500.0,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,True,Women's Bantamweight,FEMALE,5,0,4,0,49.875,0.531,1.125,1.25,0.595,4,2,21,0,0,1,3,0,2,0,6,Orthodox,170.18,170.18,135,0,6,0,31.1111,0.576,0.4444,0.8889,0.23,6,1,17,3,0,1,1,4,2,0,8,Orthodox,172.72,175.26,145,29,29,0,-2,-2,-2,-1,4,-3,-4,0,-2.54,-5.08,0,18.7639,0.6806,0.3611,0.0,2.0,0.0,,,,0.0,,,,,,,,,12.0,,,,2.0,,,,,,,,,,Red,KO/TKO,Punches,5.0,2:36,1356.0,240.0,1000.0,275.0,1325.0,125.0,1400.0
Jacare Souza,Kelvin Gastelum,-115.0,-105.0,86.9565,95.2381,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Blue,False,Middleweight,MALE,3,0,1,0,44.9231,0.465,0.1538,0.6923,0.243,5,4,32,1,0,2,2,3,2,0,9,Southpaw,175.26,180.34,185,0,1,0,18.4,0.497,0.7,1.2,0.353,5,2,17,0,0,0,1,3,4,0,8,Orthodox,185.42,182.88,185,38,26,0,0,0,1,-2,15,1,0,-2,-10.16,-2.54,12,26.5231,-0.5462,-0.5077,0.0,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,Blue,S-DEC,,3.0,5:00,900.0,315.0,525.0,175.0,2000.0,700.0,220.0
Mackenzie Dern,Amanda Cooper,-260.0,220.0,38.4615,220.0,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,False,Women's Strawweight,FEMALE,3,0,1,0,29.25,0.39,1.0,0.75,0.248,1,2,7,1,0,0,1,1,0,0,2,Switch,160.02,162.56,115,0,1,0,70.0,0.48,1.0,1.0,0.16,1,0,3,0,0,1,0,0,0,0,1,Orthodox,162.56,160.02,115,25,26,0,0,0,1,-2,4,1,1,0,-2.54,2.54,-1,-40.75,0.0,-0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1.0,2:27,147.0,230.0,450.0,110.0,2000.0,1000.0,480.0
John Lineker,Brian Kelleher,-265.0,225.0,37.7358,225.0,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,False,Bantamweight,MALE,3,0,2,0,46.25,0.438,0.5,0.75,0.395,2,1,8,0,0,0,1,1,1,0,3,Switch,167.64,167.64,135,0,1,0,57.2857,0.413,0.4286,0.4286,0.179,6,3,35,0,0,1,4,5,1,0,11,Orthodox,160.02,170.18,135,27,31,0,1,-4,-8,2,-27,0,-4,0,7.62,-2.54,-4,-11.0357,0.0714,0.3214,0.0,,6.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,Red,KO/TKO,Punch,3.0,3:43,823.0,115.0,300.0,825.0,1200.0,200.0,1400.0
Vitor Belfort,Lyoto Machida,165.0,-190.0,165.0,52.6316,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Blue,False,Middleweight,MALE,3,0,1,0,30.6522,0.524,0.3478,0.6087,0.267,8,8,61,5,0,2,6,6,1,0,15,Southpaw,185.42,187.96,185,0,1,0,11.4,0.507,0.32,0.24,0.11,3,10,38,6,0,0,1,11,2,1,15,Southpaw,182.88,187.96,185,41,39,0,0,5,0,2,23,-1,-6,-1,2.54,0.0,2,19.2522,0.0278,0.3687,0.0,12.0,9.0,,,,,,,9.0,,,,,,,,,,,,,12.0,,,,,,,Red,KO/TKO,Kick,2.0,1:00,360.0,500.0,175.0,1600.0,1600.0,385.0,155.0
Cezar Ferreira,Karl Roberson,-150.0,130.0,66.6667,130.0,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,False,Middleweight,MALE,3,0,1,0,17.0,0.73,2.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,1,Southpaw,185.42,187.96,205,0,1,0,18.9167,0.41,0.3333,1.75,0.432,3,4,27,1,0,2,4,0,2,0,8,Southpaw,185.42,198.12,185,33,27,0,0,-2,-7,4,-26,-1,0,-1,0.0,-10.16,6,-1.9167,1.6667,-0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Arm Triangle,1.0,4:45,285.0,275.0,425.0,475.0,800.0,550.0,200.0
Aleksei Oleinik,Junior Albini,135.0,-145.0,135.0,68.9655,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,False,Heavyweight,MALE,3,1,0,0,34.5,0.525,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,190.5,187.96,264,1,0,0,20.8333,0.487,1.0,1.3333,0.262,2,2,10,0,0,0,0,1,3,0,4,Orthodox,187.96,203.2,240,40,27,0,0,-1,-3,1,-6,0,0,-3,2.54,-15.24,13,13.6667,-1.0,-1.3333,0.0,14.0,10.0,,,,,10.0,,,,,,,,,,,,,14.0,,,,,,,,,Red,SUB,Other - Choke,1.0,1:45,105.0,,375.0,,1400.0,,140.0
Davi Ramos,Nick Hein,-185.0,160.0,54.0541,160.0,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,False,Lightweight,MALE,3,0,3,0,39.0,0.37,0.0,1.0,0.212,3,1,15,0,0,0,4,0,0,0,4,Southpaw,167.64,167.64,155,0,1,0,45.0,0.36,0.5,2.5,0.275,1,1,6,0,0,0,0,0,1,0,1,Orthodox,167.64,177.8,155,31,34,0,2,2,3,0,9,0,0,-1,0.0,-10.16,-3,-6.0,-0.5,-1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1.0,4:15,255.0,180.0,160.0,345.0,1400.0,900.0,1200.0
Elizeu Zaleski dos Santos,Sean Strickland,100.0,-120.0,100.0,83.3333,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,False,Welterweight,MALE,3,0,1,0,55.625,0.366,0.5,1.375,0.479,3,2,22,0,0,2,2,1,1,0,6,Orthodox,185.42,193.04,170,0,4,0,66.0,0.408,0.6,0.4,0.228,4,1,15,0,0,1,2,1,0,0,4,Orthodox,180.34,185.42,170,31,27,0,-3,-1,2,-1,7,0,0,1,5.08,7.62,4,-10.375,-0.1,0.975,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,1.0,3:40,220.0,155.0,165.0,1200.0,1200.0,425.0,825.0
Warlley Alves,Sultan Aliev,-280.0,240.0,35.7143,240.0,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,False,Welterweight,MALE,3,0,1,0,11.5,0.57,0.0,1.0,0.33,1,1,4,0,0,1,0,0,0,0,1,Orthodox,180.34,187.96,170,0,1,0,32.4286,0.454,0.8571,1.0,0.371,4,2,18,1,0,0,2,0,3,0,5,Orthodox,180.34,182.88,170,27,33,0,0,-3,-4,1,-14,-1,0,-3,0.0,5.08,-6,-20.9286,-0.8571,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,,2.0,5:00,600.0,200.0,375.0,190.0,1400.0,635.0,600.0
Thales Leites,Jack Hermansson,110.0,-130.0,110.0,76.9231,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Blue,False,Middleweight,MALE,3,1,0,0,33.6,0.5,0.0,0.6,0.432,2,2,8,0,0,0,1,2,0,0,3,Orthodox,185.42,195.58,185,1,0,0,26.1579,0.405,0.8947,1.6842,0.271,5,7,51,1,0,1,4,2,5,0,12,Orthodox,185.42,198.12,185,36,29,0,0,-3,-9,5,-43,-1,0,-5,0.0,-2.54,7,7.4421,-0.8947,-1.0842,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,3.0,2:10,730.0,335.0,187.0,485.0,1500.0,800.0,259.0
Alberto Mina,Ramazan Emeev,150.0,-170.0,150.0,58.8235,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Blue,False,Welterweight,MALE,3,0,1,0,38.0,0.53,0.0,1.0,0.11,1,0,3,0,0,0,1,0,0,0,1,Southpaw,177.8,193.04,170,0,3,0,39.6667,0.467,0.0,1.3333,0.377,3,0,6,0,0,1,0,2,0,0,3,Orthodox,182.88,195.58,170,36,30,0,-2,-2,-2,0,-3,0,-2,0,-5.08,-2.54,6,-1.6667,0.0,-0.3333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,495.0,200.0,600.0,564.0,411.0,350.0
Markus Perez,James Bochnovic,-300.0,250.0,33.3333,250.0,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Red,False,Middleweight,MALE,3,1,0,0,5.0,0.2,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,193.04,205.74,205,1,0,0,30.0,0.5,1.0,2.0,0.4,0,1,3,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,185,29,29,0,0,0,0,0,-1,0,0,0,7.62,20.32,0,-25.0,-1.0,-2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1.0,4:28,268.0,385.0,445.0,155.0,1000.0,346.0,1215.0
Edson Barboza,Kevin Lee,145.0,-165.0,145.0,60.6061,2018-04-21,"Atlantic City, New Jersey, USA", USA,Blue,False,Lightweight,MALE,5,1,0,0,36.9167,0.448,0.9167,2.3333,0.444,5,3,26,1,0,1,3,1,4,0,9,Orthodox,175.26,195.58,170,1,0,0,40.6667,0.441,0.0556,0.3889,0.203,4,5,43,0,1,1,5,6,0,0,13,Orthodox,180.34,190.5,155,32,25,0,0,1,-4,2,-17,1,-5,4,-5.08,5.08,7,-3.75,0.8611,1.9444,0.0,7.0,4.0,,,,,,,,,4.0,,,,,,,,,,,,,7.0,,,,,Red,KO/TKO,,5.0,2:18,1338.0,375.0,375.0,1800.0,165.0,300.0,700.0
Frankie Edgar,Cub Swanson,-275.0,235.0,36.3636,235.0,2018-04-21,"Atlantic City, New Jersey, USA", USA,Red,False,Featherweight,MALE,3,1,0,0,65.6429,0.495,0.1429,0.7857,0.433,6,4,42,0,0,0,6,4,0,0,10,Orthodox,172.72,177.8,145,1,0,0,61.087,0.429,0.4348,2.913,0.305,5,7,80,8,0,0,9,4,2,1,16,Orthodox,167.64,172.72,145,36,34,0,0,1,-6,3,-38,-8,-1,-2,5.08,5.08,2,4.5559,-0.2919,-2.1273,0.0,4.0,3.0,,,,,,,,,,3.0,,,,,,,,,,,,,4.0,,,,Red,U-DEC,,3.0,5:00,900.0,-155.0,450.0,1200.0,1600.0,1000.0,465.0
Justin Willis,Chase Sherman,-290.0,245.0,34.4828,245.0,2018-04-21,"Atlantic City, New Jersey, USA", USA,Red,False,Heavyweight,MALE,3,1,0,0,59.6,0.392,0.0,0.0,0.0,2,3,11,0,0,0,1,1,0,0,2,Orthodox,193.04,198.12,250,0,2,0,37.0,0.535,0.0,1.5,0.375,2,0,4,0,0,0,1,1,0,0,2,Southpaw,185.42,198.12,264,30,28,-1,-2,0,0,-3,7,0,0,0,7.62,0.0,2,22.6,0.0,-1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,230.0,625.0,1200.0,1400.0,-110.0,550.0
David Branch,Thiago Santos,140.0,-160.0,140.0,62.5,2018-04-21,"Atlantic City, New Jersey, USA", USA,Red,False,Middleweight,MALE,3,0,4,0,24.7692,0.443,0.0,0.1538,0.077,4,4,20,0,0,0,1,8,0,0,9,Orthodox,187.96,193.04,205,1,0,0,20.1667,0.432,0.0,1.8333,0.413,2,3,16,0,0,1,2,0,0,0,3,Orthodox,185.42,198.12,185,36,34,1,4,2,6,-1,4,0,8,0,2.54,-5.08,2,4.6026,0.0,-1.6795,0.0,11.0,8.0,,,,,,,8.0,,,,,,,,,,,,,11.0,,,,,,,Red,KO/TKO,Punch,1.0,2:30,150.0,285.0,349.0,550.0,1850.0,1000.0,110.0
Aljamain Sterling,Brett Johns,-115.0,-105.0,86.9565,95.2381,2018-04-21,"Atlantic City, New Jersey, USA", USA,Red,False,Bantamweight,MALE,3,0,3,0,35.3333,0.417,0.6667,4.6667,0.443,3,0,7,0,0,0,2,0,1,0,3,Orthodox,170.18,180.34,135,1,0,0,44.8889,0.477,0.7778,1.7778,0.496,4,3,24,0,0,0,3,1,2,0,6,Orthodox,170.18,180.34,135,28,26,1,3,-1,-3,3,-17,0,-1,-1,0.0,0.0,2,-9.5556,-0.1111,2.8889,0.0,14.0,8.0,,,,,,,,,,,8.0,,,,,,,,,,,,,14.0,,,Red,U-DEC,,3.0,5:00,900.0,165.0,170.0,600.0,800.0,800.0,675.0
Jim Miller,Dan Hooker,250.0,-300.0,250.0,33.3333,2018-04-21,"Atlantic City, New Jersey, USA", USA,Blue,False,Lightweight,MALE,3,0,2,0,36.125,0.446,0.25,0.375,0.124,2,3,18,0,0,0,0,3,2,0,5,Switch,182.88,190.5,155,3,0,0,30.7143,0.37,1.3929,1.2143,0.414,7,11,68,0,0,2,6,3,6,0,17,Southpaw,172.72,180.34,155,34,28,3,2,-5,-12,8,-50,0,0,-4,10.16,10.16,6,5.4107,-1.1429,-0.8393,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Knee,1.0,3:00,180.0,425.0,-120.0,1000.0,650.0,1200.0,350.0
Ryan LaFlare,Alex Garcia,-150.0,130.0,66.6667,130.0,2018-04-21,"Atlantic City, New Jersey, USA", USA,Red,False,Welterweight,MALE,3,0,1,0,21.75,0.335,0.125,2.875,0.435,2,3,19,0,0,1,1,2,1,0,5,Orthodox,175.26,182.88,170,1,0,0,46.0,0.388,0.25,2.5,0.33,4,2,25,0,0,0,6,0,0,0,6,Southpaw,185.42,187.96,170,34,30,1,1,-2,-1,-1,-6,0,2,1,-10.16,-5.08,4,-24.25,-0.125,0.375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,,285.0,,1000.0,,500.0
Merab Dvalishvili,Ricky Simon,-110.0,-110.0,90.9091,90.9091,2018-04-21,"Atlantic City, New Jersey, USA", USA,Blue,False,Bantamweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,175.26,135,1,0,0,47.0,0.39,0.0,11.0,0.47,0,1,3,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,135,27,25,1,0,0,0,1,-3,0,0,0,0.0,2.54,2,-47.0,0.0,-11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,,3.0,5:00,900.0,215.0,165.0,1400.0,575.0,875.0,465.0
Siyar Bahadurzada,Luan Chagas,150.0,-170.0,150.0,58.8235,2018-04-21,"Atlantic City, New Jersey, USA", USA,Red,False,Welterweight,MALE,3,0,1,0,60.6667,0.467,0.3333,0.3333,0.083,1,2,8,0,0,0,0,0,1,0,1,Orthodox,182.88,190.5,170,0,2,0,35.8,0.488,0.4,0.8,0.3,2,2,12,0,0,0,0,2,1,0,3,Orthodox,180.34,185.42,170,34,24,0,-1,-1,-2,0,-4,0,-2,0,2.54,5.08,10,24.8667,-0.0667,-0.4667,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,2.0,2:40,460.0,450.0,400.0,775.0,380.0,245.0,300.0
Corey Anderson,Patrick Cummins,-165.0,145.0,60.6061,145.0,2018-04-21,"Atlantic City, New Jersey, USA", USA,Red,False,Light Heavyweight,MALE,3,0,2,0,44.2,0.504,0.1,3.4,0.363,3,4,22,0,0,1,3,2,0,0,6,Orthodox,187.96,193.04,205,2,0,0,53.6,0.479,0.0,3.3,0.508,3,4,25,1,0,0,4,2,0,0,6,Orthodox,190.5,200.66,205,28,37,2,2,0,0,0,-3,-1,0,0,-2.54,-7.62,-9,-9.4,0.1,0.1,0.0,11.0,10.0,,,,,,10.0,,,,,,,,,,,,,11.0,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,175.0,170.0,1000.0,1200.0,390.0,650.0
Anthony Rocco Martin,Keita Nakamura,-200.0,170.0,50.0,170.0,2018-04-21,"Atlantic City, New Jersey, USA", USA,Red,False,Welterweight,MALE,3,0,1,0,30.375,0.364,0.5,2.0,0.541,1,5,23,0,0,1,0,0,2,0,3,Southpaw,180.34,185.42,170,1,0,0,30.5,0.375,0.875,1.0,0.31,3,4,20,0,0,0,2,0,2,0,4,Orthodox,182.88,185.42,170,28,33,1,1,-2,-1,-1,3,0,0,0,-2.54,0.0,-5,-0.125,-0.375,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,-121.0,350.0,745.0,605.0,800.0,1380.0
Dustin Poirier,Justin Gaethje,-125.0,105.0,80.0,105.0,2018-04-14,"Glendale, Arizona, USA", USA,Red,False,Lightweight,MALE,5,1,0,0,113.0,0.55,0.0,0.0,0.0,1,1,5,0,0,0,0,1,0,0,1,Orthodox,180.34,177.8,155,0,1,0,45.8947,0.501,0.5789,1.2632,0.281,4,5,39,0,1,0,4,6,3,0,14,Southpaw,175.26,182.88,155,29,29,-1,-1,-3,-13,4,-34,0,-5,-3,5.08,-5.08,0,67.1053,-0.5789,-1.2632,0.0,6.0,5.0,,,,,,,,,5.0,,,,,,,,,,,,,6.0,,,,,Red,KO/TKO,Punch,4.0,0:33,933.0,525.0,825.0,585.0,1500.0,160.0,155.0
Carlos Condit,Alex Oliveira,155.0,-175.0,155.0,57.1429,2018-04-14,"Glendale, Arizona, USA", USA,Blue,False,Welterweight,MALE,3,1,0,0,29.4545,0.5,0.5455,2.0909,0.25,3,4,25,0,0,0,2,3,2,0,7,Orthodox,180.34,193.04,170,3,0,0,57.0714,0.359,0.6429,0.4286,0.136,5,7,41,3,0,1,1,4,0,1,7,Orthodox,187.96,190.5,170,33,30,2,0,-2,0,3,-16,-3,-2,2,-7.62,2.54,3,-27.6169,-0.0974,1.6623,0.0,,12.0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,Red,SUB,Guillotine Choke,2.0,3:17,497.0,475.0,120.0,850.0,750.0,425.0,450.0
Israel Adesanya,Marvin Vettori,-245.0,205.0,40.8163,205.0,2018-04-14,"Glendale, Arizona, USA", USA,Red,False,Middleweight,MALE,3,1,0,0,43.5,0.485,1.0,1.25,0.605,1,2,10,0,0,0,1,0,1,0,2,Southpaw,182.88,187.96,185,0,1,0,52.0,0.69,0.0,0.0,0.0,1,0,2,0,0,0,0,1,0,0,1,Switch,193.04,203.2,185,28,24,-1,-1,0,1,-2,8,0,-1,1,-10.16,-15.24,4,-8.5,1.0,1.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,250.0,475.0,1850.0,540.0,125.0,875.0
